154,"Beato l'uomo a cui il Signore non imputa l'iniquità.","Salmo 32:2","Consolazione"
155,"Rivestitevi dunque di sentimenti di misericordia, di benevolenza, di umiltà, di mansuetudine, di pazienza.","Colossesi 3:12","Esortazione"
156,"La preghiera del giusto ha una grande efficacia.","Giacomo 5:16","Edificazione"
157,"L'odio provoca liti, ma l'amore copre ogni colpa.","Proverbi 10:12","Edificazione"
158,"Insegnaci dunque a contare i nostri giorni, per ottenere un cuore saggio.","Salmo 90:12","Esortazione"
159,"Non lasciarti vincere dal male, ma vinci il male con il bene.","Romani 12:21","Esortazione"
160,"Egli dà la neve come lana, sparge la brina come cenere.","Salmo 147:16","Edificazione"
161,"Chi è colui che vince il mondo, se non chi crede che Gesù è il Figlio di Dio?","1 Giovanni 5:5","Edificazione"
162,"Il cuore dell'uomo medita la sua via, ma il Signore dirige i suoi passi.","Proverbi 16:9","Consolazione"
163,"State sempre gioiosi.","1 Tessalonicesi 5:16","Esortazione"
164,"La lingua dolce è un albero di vita, ma la lingua perversa strazia lo spirito.","Proverbi 15:4","Edificazione"
165,"Il Signore ti guiderà sempre, sazierà l'anima tua nei luoghi aridi.","Isaia 58:11","Consolazione"
166,"Abbiate fede in Dio.","Marco 11:22","Esortazione"
167,"Il Signore è vicino a tutti quelli che lo invocano, a tutti quelli che lo invocano in verità.","Salmo 145:18","Consolazione"
168,"Nessuna parola malvagia esca dalla vostra bocca, ma se ne avete qualcuna buona, ditela.","Efesini 4:29","Esortazione"
169,"Chi cammina nell'integrità cammina sicuro, ma chi va per vie tortuose sarà scoperto.","Proverbi 10:9","Esortazione"
170,"Noi sappiamo che tutto coopera al bene di quelli che amano Dio.","Romani 8:28","Consolazione"
171,"Tutta la legge infatti è adempiuta in quest'unica parola: ""Ama il tuo prossimo come te stesso"".","Galati 5:14","Edificazione"
172,"Poiché il Signore dà la sapienza; dalla sua bocca procedono la scienza e l'intelligenza.","Proverbi 2:6","Edificazione"
173,"Non vi ingannate; non ci si beffa di Dio.","Galati 6:7","Esortazione"
174,"Il Signore preserverà la tua uscita e la tua entrata, ora e sempre.","Salmo 121:8","Consolazione"
175,"Abbiate in voi lo stesso sentimento che è stato anche in Cristo Gesù.","Filippesi 2:5","Esortazione"
176,"Il Signore è re in eterno; il tuo Dio, o Sion, regna per ogni età.","Salmo 146:10","Edificazione"
177,"Chi ha orecchi per udire oda.","Matteo 11:15","Esortazione"
178,"L'amico ama in ogni tempo; è nato per essere un fratello nella sventura.","Proverbi 17:17","Edificazione"
179,"Poiché gli occhi del Signore percorrono tutta la terra per sostenere quelli che hanno il cuore integro verso di lui.","2 Cronache 16:9","Consolazione"
180,"Onora il Signore con i tuoi beni e con le primizie di ogni tua rendita.","Proverbi 3:9","Esortazione"
181,"Siate misericordiosi come è misericordioso il Padre vostro.","Luca 6:36","Esortazione"
182,"La salvezza dei giusti viene dal Signore; egli è la loro fortezza nel tempo della sventura.","Salmo 37:39","Consolazione"
183,"Il principio della saggezza è: Acquista la saggezza.","Proverbi 4:7","Esortazione"
184,"Dio resiste ai superbi, ma dà grazia agli umili.","Giacomo 4:6","Edificazione"
185,"Confidate in lui in ogni tempo, o popolo; aprite il vostro cuore in sua presenza.","Salmo 62:8","Consolazione"
186,"Chi custodisce la sua bocca preserva la propria vita.","Proverbi 13:3","Esortazione"
187,"Siate ospitali gli uni verso gli altri senza mormorare.","1 Pietro 4:9","Esortazione"
188,"Grandi e meravigliose sono le tue opere, o Signore, Dio onnipotente.","Apocalisse 15:3","Edificazione"
189,"Non rattristate lo Spirito Santo di Dio con il quale siete stati suggellati.","Efesini 4:30","Esortazione"
190,"Il Signore apre gli occhi ai ciechi, il Signore rialza gli oppressi.","Salmo 146:8","Consolazione"
191,"Una risposta gentile calma la collera, ma la parola pungente eccita l'ira.","Proverbi 15:1","Edificazione"
192,"Chi segue la giustizia e la bontà troverà vita, giustizia e gloria.","Proverbi 21:21","Edificazione"
193,"Non ti vendicherai e non serberai rancore contro i figli del tuo popolo.","Levitico 19:18","Esortazione"
194,"Spera nel Signore e segui la sua via; egli ti esalterà perché tu possieda la terra.","Salmo 37:34","Esortazione"
195,"Poiché tu, o Signore, sei buono, pronto a perdonare e misericordioso.","Salmo 86:5","Consolazione"
196,"A chiunque fu dato molto, molto sarà domandato.","Luca 12:48","Esortazione"
197,"Il Signore è la mia forza e il mio cantico; egli è stato la mia salvezza.","Salmo 118:14","Edificazione"
198,"Meglio poco con il timore del Signore, che un gran tesoro con l'inquietudine.","Proverbi 15:16","Edificazione"
199,"Non mentite gli uni agli altri, perché vi siete spogliati dell'uomo vecchio.","Colossesi 3:9","Esortazione"
200,"Dio è spirito; e quelli che lo adorano, bisogna che lo adorino in spirito e verità.","Giovanni 4:24","Edificazione"
201,"Egli mi fa riposare in verdeggianti pascoli, mi guida lungo le acque calme.","Salmo 23:2","Consolazione"
202,"Guardatevi dai falsi profeti i quali vengono a voi in vesti da pecore.","Matteo 7:15","Esortazione"
203,"Non dire: ""Renderò il male""; spera nel Signore ed egli ti salverà.","Proverbi 20:22","Consolazione"
204,"Come la cerva desidera i corsi d'acqua, così l'anima mia anela a te, o Dio.","Salmo 42:1","Edificazione"
205,"Chi rubava non rubi più, ma si affatichi piuttosto a lavorare onestamente.","Efesini 4:28","Esortazione"
206,"La tua fedeltà dura di generazione in generazione.","Salmo 119:90","Edificazione"
207,"Se uno dice: ""Io amo Dio"", ma odia suo fratello, è bugiardo.","1 Giovanni 4:20","Esortazione"
208,"Affida al Signore le tue opere, e i tuoi progetti avranno successo.","Proverbi 16:3","Esortazione"
209,"Egli non permetterà che il tuo piede vacilli; colui che ti protegge non sonnecchierà.","Salmo 121:3","Consolazione"
210,"Non siate pigri nello zelo; siate ferventi nello spirito, servite il Signore.","Romani 12:11","Esortazione"
211,"Beato il popolo il cui Dio è il Signore.","Salmo 144:15","Edificazione"
212,"I precetti del Signore sono giusti, rallegrano il cuore.","Salmo 19:8","Edificazione"
213,"Non rifiutare il bene a chi ne ha diritto, quando è in tuo potere il farlo.","Proverbi 3:27","Esortazione"
214,"Poiché il Figlio dell'uomo è venuto per cercare e salvare ciò che era perduto.","Luca 19:10","Consolazione"
215,"Celebrate il Signore, perché egli è buono, perché la sua bontà dura in eterno.","1 Cronache 16:34","Edificazione"
216,"Egli è la rocca, l'opera sua è perfetta, poiché tutte le sue vie sono giustizia.","Deuteronomio 32:4","Edificazione"
217,"Ma tu, uomo di Dio, fuggi queste cose e ricerca la giustizia, la pietà, la fede.","1 Timoteo 6:11","Esortazione"
218,"Egli sana chi ha il cuore spezzato e fascia le loro piaghe.","Salmo 147:3","Consolazione"
219,"Il mio aiuto viene dal Signore, che ha fatto il cielo e la terra.","Salmo 121:2","Consolazione"
220,"Chi ama la disciplina ama la scienza, ma chi odia la correzione è stolto.","Proverbi 12:1","Esortazione"
221,"Beato chi si cura del povero; nel giorno della sventura il Signore lo libererà.","Salmo 41:1","Consolazione"
222,"Non partecipate alle opere infruttuose delle tenebre; piuttosto denunciatele.","Efesini 5:11","Esortazione"
223,"Il Signore fa giustizia e difende la causa di tutti gli oppressi.","Salmo 103:6","Consolazione"
224,"Ogni uomo sia pronto ad ascoltare, lento a parlare, lento all'ira.","Giacomo 1:19","Esortazione"
225,"Cieli, rallegratevi, e terra, esulta!","Salmo 96:11","Edificazione"
226,"La sapienza di quaggiù è terrena, animale, diabolica.","Giacomo 3:15","Edificazione"
227,"Perciò, se qualcuno è in Cristo, è una nuova creatura.","2 Corinzi 5:17","Consolazione"
228,"Cercate il bene della città dove vi ho fatti deportare.","Geremia 29:7","Esortazione"
229,"Voi siete la luce del mondo. Una città posta sopra un monte non può rimanere nascosta.","Matteo 5:14","Edificazione"
230,"Dacci oggi il nostro pane quotidiano.","Matteo 6:11","Esortazione"
231,"Egli ha fatto memoria dei suoi miracoli; il Signore è misericordioso e pietoso.","Salmo 111:4","Edificazione"
232,"La donna saggia costruisce la sua casa, ma la stolta la demolisce con le proprie mani.","Proverbi 14:1","Esortazione"
233,"Egli ti coprirà con le sue penne e sotto le sue ali troverai rifugio.","Salmo 91:4","Consolazione"
234,"Guardatevi dall'avidità, perché la vita di uno non consiste nell'abbondanza dei beni.","Luca 12:15","Esortazione"
235,"Molto si può con la preghiera del giusto.","Giacomo 5:16","Edificazione"
236,"Voi mi cercherete e mi troverete, perché mi cercherete con tutto il vostro cuore.","Geremia 29:13","Consolazione"
237,"Esaltate il Signore, il nostro Dio, e prostratevi davanti allo sgabello dei suoi piedi.","Salmo 99:5","Esortazione"
238,"L'Eterno è il mio pastore, nulla mi mancherà.","Salmo 23:1","Consolazione"
239,"La corona dei vecchi sono i figli dei figli.","Proverbi 17:6","Edificazione"
240,"Ricordati del giorno del riposo per santificarlo.","Esodo 20:8","Esortazione"
Giorno,Frase,Riferimento,Categoria
241,"Io ti celebrerò, perché sono stato fatto in modo stupendo.","Salmo 139:14","Edificazione"
242,"Mille ne cadranno al tuo fianco e diecimila alla tua destra, ma tu non ne sarai colpito.","Salmo 91:7","Consolazione"
243,"Cercate il Signore e la sua forza, cercate sempre il suo volto.","Salmo 105:4","Esortazione"
244,"Chi è saggio? Colui che comprende queste cose.","Osea 14:9","Edificazione"
245,"Non spegnete lo Spirito.","1 Tessalonicesi 5:19","Esortazione"
246,"Perdona le nostre colpe, come anche noi le perdoniamo ai nostri debitori.","Matteo 6:12","Esortazione"
247,"Beato l'uomo che teme il Signore e trova grande gioia nei suoi comandamenti.","Salmo 112:1","Edificazione"
248,"Non temere, perché io ti ho riscattato, ti ho chiamato per nome; tu sei mio!","Isaia 43:1","Consolazione"
249,"Chi corregge lo schernitore si attira insulti.","Proverbi 9:7","Edificazione"
250,"Chi semina per il suo corpo, dal corpo raccoglierà corruzione.","Galati 6:8","Esortazione"
251,"Il Signore è grande e degno di lode eccelsa.","Salmo 96:4","Edificazione"
252,"Abbiate sale in voi stessi e state in pace gli uni con gli altri.","Marco 9:50","Esortazione"
253,"Egli dà al bestiame il suo pascolo e ai piccoli dei corvi che gridano.","Salmo 147:9","Edificazione"
254,"Non dimenticate l'ospitalità; perché alcuni praticandola hanno ospitato angeli senza saperlo.","Ebrei 13:2","Esortazione"
255,"Il Signore libera i prigionieri; il Signore apre gli occhi ai ciechi.","Salmo 146:7-8","Consolazione"
256,"State saldi dunque nella libertà con la quale Cristo ci ha liberati.","Galati 5:1","Esortazione"
257,"Chi ama la purezza del cuore e ha la grazia sulle labbra, ha il re per amico.","Proverbi 22:11","Edificazione"
258,"Il vostro ornamento non sia quello esteriore... ma l'essere nascosto nel cuore.","1 Pietro 3:3-4","Esortazione"
259,"Egli è la nostra pace; lui che dei due popoli ne ha fatto uno solo.","Efesini 2:14","Consolazione"
260,"Fermatevi e riconoscete che io sono Dio.","Salmo 46:10","Esortazione"
261,"L'uomo non vivrà soltanto di pane, ma di ogni parola che proviene dalla bocca di Dio.","Matteo 4:4","Edificazione"
262,"Insegnami a fare la tua volontà, poiché tu sei il mio Dio.","Salmo 143:10","Esortazione"
263,"Il Signore è giusto in tutte le sue vie e benevolo in tutte le sue opere.","Salmo 145:17","Consolazione"
264,"Chi ama suo fratello dimora nella luce e non c'è in lui nulla che lo faccia inciampare.","1 Giovanni 2:10","Edificazione"
